id,date
USC00010395,1980-12-24
USC00010655,1981-02-12
USC00011694,1980-12-27
USC00011725,1980-12-27
USC00014226,1981-02-11
USC00014619,1981-02-06
USC00015635,1981-02-11
USC00016121,1981-02-12
USC00016362,1980-12-27
USC00018209,1980-12-27
USC00018323,1980-12-25
USC00018469,1981-02-02
USC00020159,1980-10-15
USC00020490,1980-12-07
USC00020750,1980-10-15
USC00020855,1980-11-16
USC00020871,1980-10-16
USC00021001,1980-10-13
USC00021574,1980-10-15
USC00021920,1981-01-30
USC00022781,1980-11-16
USC00023160,1980-10-16
USC00023303,1980-11-25
USC00023596,1980-10-15
USC00023683,1981-02-09
USC00023698,1980-11-16
USC00023828,1981-01-12
USC00023926,1980-10-15
USC00024508,1980-12-07
USC00024586,1980-11-24
USC00024675,1980-12-08
USC00024686,1980-12-13
USC00025412,1980-10-15
USC00026180,1981-01-30
USC00026190,1980-12-07
USC00026202,1980-12-07
USC00026597,1980-12-07
USC00026601,1980-11-16
USC00026616,1981-02-09
USC00026716,1980-11-16
USC00026796,1980-10-15
USC00027435,1980-11-16
USC00027496,1980-12-08
USC00027716,1981-02-09
USC00027855,1980-12-13
USC00028012,1980-12-13
USC00028018,1980-12-07
USC00028326,1980-11-16
USC00028329,1980-10-15
USC00028650,1980-10-16
USC00029156,1980-12-07
USC00029271,1981-01-29
USC00029359,1980-10-26
USC00029410,1980-12-06
USC00030006,1980-11-27
USC00030130,1980-11-27
USC00030150,1980-11-27
USC00030300,1980-11-26
USC00030326,1980-11-27
USC00030458,1980-11-26
USC00030460,1980-11-27
USC00030582,1980-11-27
USC00030586,1980-11-27
USC00030616,1980-11-27
USC00030746,1980-11-27
USC00030832,1980-11-27
USC00030842,1980-11-27
USC00031010,1980-11-18
USC00031102,1980-11-27
USC00031132,1980-11-27
USC00031152,1981-01-20
USC00031596,1980-11-27
USC00031632,1980-11-27
USC00031750,1980-11-27
USC00031900,1980-11-18
USC00032015,1981-01-20
USC00032356,1980-11-18
USC00032366,1980-11-27
USC00032444,1980-11-27
USC00032578,1981-01-20
USC00032760,1980-11-27
USC00032794,1980-11-27
USC00032922,1981-01-20
USC00032930,1980-11-17
USC00032946,1980-11-27
USC00032976,1981-01-20
USC00033074,1980-11-27
USC00033235,1980-11-27
USC00033438,1980-11-27
USC00033442,1981-01-20
USC00033466,1980-11-27
USC00033540,1980-11-26
USC00033600,1981-01-21
USC00033704,1980-11-27
USC00033734,1981-01-30
USC00033862,1980-11-27
USC00034010,1980-11-27
USC00034060,1981-01-20
USC00034134,1980-11-27
USC00034548,1980-11-27
USC00034562,1980-11-27
USC00034572,1980-11-27
